ESCUELA,EDAD,SEXO,EST_CIVIL,HIJOS,TRABAJA_ESTUDIA,VIVE_SOLO,NIVEL_SOCIO_ECON,SEMESTRE,PPACumulado,PPAnterior
ADMINISTRACIÓN,23,0,0,0,0,1,2,8,14.204,14.421
ADMINISTRACIÓN,21,1,0,0,1,0,2,9,13.897,15.905
ADMINISTRACIÓN,17,0,0,0,0,0,2,1,14.537,14.143
ADMINISTRACIÓN,21,1,0,0,1,1,1,9,15.678,15.429
ADMINISTRACIÓN,29,1,2,1,0,0,2,10,13.719,14.9
ADMINISTRACIÓN,22,1,0,0,1,0,0,3,16.553,16.571
ADMINISTRACIÓN,22,1,0,0,1,1,2,9,14.71,14
ADMINISTRACIÓN,18,1,0,0,1,0,0,2,11.163,17
ADMINISTRACIÓN,25,1,0,1,1,0,0,8,13.305,17.353
ADMINISTRACIÓN,24,1,0,0,1,1,1,10,13.588,13.053
ADMINISTRACIÓN,22,1,0,0,1,1,0,7,12.975,14.333
ADMINISTRACIÓN,24,1,0,0,1,0,2,8,15.364,15.524
ADMINISTRACIÓN,24,1,0,0,1,0,2,10,12.268,15
ADMINISTRACIÓN,20,1,0,0,0,1,1,7,13.056,16.333
ADMINISTRACIÓN,18,0,0,0,0,0,1,2,15.449,15.105
ADMINISTRACIÓN,27,0,0,0,1,1,0,10,14.674,16.65
ADMINISTRACIÓN,21,0,0,0,1,1,0,7,14.86,14.4
ADMINISTRACIÓN,24,0,0,0,1,1,0,7,13.531,15.067
ADMINISTRACIÓN,25,0,0,0,1,1,0,6,14.205,14.333
ADMINISTRACIÓN,20,1,0,0,0,0,1,10,12.577,2.727
ADMINISTRACIÓN,24,1,0,0,1,0,2,8,14.572,15.524
ADMINISTRACIÓN,20,0,0,0,1,0,1,5,15.289,15.773
ADMINISTRACIÓN,42,1,0,1,1,0,2,10,11.531,10.19
ADMINISTRACIÓN,32,1,1,1,0,0,0,10,13.828,12.632
ADMINISTRACIÓN,29,0,0,1,1,0,0,9,16.371,15.619
ADMINISTRACIÓN,23,1,0,0,1,0,1,10,13.242,14.842
ADMINISTRACIÓN,23,0,0,0,0,0,0,10,14.135,15.381
ADMINISTRACIÓN,27,1,0,0,1,0,1,11,12.435,16.091
ADMINISTRACIÓN,24,1,0,0,1,1,0,5,14.394,14.905
ADMINISTRACIÓN,20,0,0,0,1,0,1,3,12.753,9.389
ADMINISTRACIÓN,23,1,0,0,1,0,1,10,13.557,16
ADMINISTRACIÓN,20,1,0,0,1,1,0,3,16.247,16.682
ADMINISTRACIÓN,22,1,0,0,1,1,2,10,12.054,11.1
ADMINISTRACIÓN,27,0,0,0,1,1,0,9,15.523,16.238
ADMINISTRACIÓN,26,0,0,1,1,1,0,8,8.734,14.059
ADMINISTRACIÓN,22,1,0,0,1,0,2,9,15.667,17
ADMINISTRACIÓN,22,0,0,0,1,1,2,7,12.581,14.143
ADMINISTRACIÓN,21,1,0,0,1,0,0,10,15.652,16.045
ADMINISTRACIÓN,21,0,0,0,0,0,2,5,14.147,15.143
ADMINISTRACIÓN,25,0,0,0,1,0,0,9,15.336,16.545
ADMINISTRACIÓN,24,1,0,1,1,1,0,10,14.437,14.571
ADMINISTRACIÓN,17,0,0,0,1,0,0,1,14.38,2.667
ADMINISTRACIÓN,27,1,0,0,1,0,1,8,14.82,15
ADMINISTRACIÓN,26,0,0,0,1,1,2,10,11.767,15.476
ADMINISTRACIÓN,28,0,0,0,1,1,2,10,16.325,16.316
ADMINISTRACIÓN,20,1,0,0,1,1,0,7,13.875,12.091
ADMINISTRACIÓN,21,1,0,0,0,0,2,10,14.579,14.3
